canonical_smiles,standard_value,mol
CC(=N)/C(C#N)=C(/O)CSc1nnc(-c2ccc(OC(F)F)cc2)o1,46575.4,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493DF0>
CC(=N)/C(C#N)=C(/O)CSc1nnc(COc2ccccc2Cl)o1,37218.71,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493E60>
CC(=N)/C(C#N)=C(/O)CSc1nnc(Cc2ccccc2F)n1N,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493ED0>
CC(=O)/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1,59.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493F40>
CC(=O)/C=C/c1ccc(Oc2c(-c3ccc(C(F)(F)F)cc3)sc3cc(O)ccc23)cc1,214.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8498040>
CC(=O)/C=C/c1ccc(Oc2c(-c3ccc(F)cc3C(F)(F)F)sc3cc(O)ccc23)cc1,5.1,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84980B0>
CC(=O)/C=C/c1ccc(Oc2c(-c3ccccc3C(C)C)sc3cc(O)ccc23)cc1,6.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8498120>
CC(=O)C1(C(C)=O)Cc2ccc([C@]3(O)CC[C@H]4[C@@H]5CCc6cc(O)ccc6[C@H]5CC[C@@]43C)cc2C1,243.22,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8498190>
CC(=O)N(C(C)=O)c1c(C#N)c(C)n(-c2ccccc2)c1C(=O)c1ccccc1,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8498200>
CC(=O)N1CCC(C2=C(C)c3cc(O)ccc3O[C@H]2c2ccc(OCCN3CC(CF)C3)cc2)CC1,100.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8498270>
CC(=O)N1c2ccc(C3=C(c4ccc(O[C@H]5CCN(CCCF)C5)cc4)c4ccc(O)cc4CCC3)cc2CC1(C)C,22.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84982E0>
CC(=O)NC(C)C(=O)OCC(=O)Nc1ccc(Br)cc1,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8498350>
CC(=O)NCCOC(=O)Nc1ccncc1,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84983C0>
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@]1(C)CCC/C=C\CCC[C@@](C)(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(C)C)NC1=O,760.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8498430>
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@]1(C)CCC/C=C\CCC[C@@](C)(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(C)C)NC1=O,390.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84984A0>
